node,degree,clustering,closeness_centrality,betweenness_centrality,eccentricity
Artigo 1.261,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.276,2,0,0.00972324029423411,2.1737076366985684e-05,6
Artigo 1.277,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.278,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.279,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.280,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.313,2,0,0.00972324029423411,4.1493980196727235e-05,6
Artigo 1.314,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.315,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.316,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.317,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.318,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.319,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.320,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.321,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.322,2,0,0.00972324029423411,1.2281224088014991e-05,6
Artigo 1.323,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.324,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.325,2,0,0.00972324029423411,1.0725256704978593e-05,6
Artigo 1.330,2,0,0.00972324029423411,2.035302233130246e-05,6
Artigo 1.331,2,0,0.00972324029423411,2.175593124709962e-05,6
Artigo 1.332,2,0,0.00972324029423411,2.035302233130246e-05,6
Artigo 1.333,2,0,0.00972324029423411,1.1061179862879784e-05,6
Artigo 1.334,2,0,0.00972324029423411,1.0253310222528115e-05,6
Artigo 1.335,2,0,0.00972324029423411,1.0253310222528115e-05,6
Artigo 1.336,2,0,0.00972324029423411,3.2225227958377595e-05,6
Artigo 1337,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.338,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.339,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.340,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.341,2,0,0.00972324029423411,1.0636011296674789e-05,6
